,Key,Business function,Copilot,Industry,Month,Publication date,Customer,Vendor,Business need,Solution,AI technologies,Results,Other details,Source,Financial effect,Scenario,Scenario Impact level,Scenario Implementation Effort level
21,22,Customer Service,Client Service Copilot,Telecommunications,11.0,2024.0,Telenor,boost.ai,Digitize customer service and address low industry-wide satisfaction.,"Telmi', a conversational AI virtual agent with 20+ integrations for self-service.","Conversational AI, Virtual Agent, Natural Language Tech",Exceeded business and ROI goals within the first year; functions as an additional sales channel.,,https://boost.ai/case-studies/enhancing-telecom-customer-experience-with-conversational-ai/,,Chatbot,High,High
22,23,Customer Service,Client Service Copilot,Financial Services,2.0,2025.0,Bank of America,Internal Development,Enhance digital interactions and provide robust self-service at massive scale.,AI virtual assistant 'Erica' for a wide range of self-service requests.,"AI virtual assistant, Conversational AI",676 million client engagements in 2024; used by 20 million clients.,,https://fintechfrontiers.live/digital-banking-dominance-bank-of-americas-ai-strategy-powers-record-growth-of-26-billion-engagements/,,"Virtual assistant,Chatbot,Notifications",,
23,24,Customer Service,Client Service Copilot,Financial Services,,2024.0,NatWest,IBM (with OpenAI),Improve customer satisfaction and reduce reliance on human agents.,"Enhanced existing AI assistant 'Cora' with OpenAI tech, creating 'Cora+'.","Generative AI, Conversational AI (OpenAI)",Handled 11.2M conversations in 2024; boosted CSAT scores by 150%.,,https://www.natwestgroup.com/news-and-insights/news-room/press-releases/data-and-technology/2024/jun/natwest-launches-cora-plus-the-latest-generative-ai-upgrade-to-t.html,,"Chatbot,Virtual assistant",,
24,25,Customer Service,Client Service Copilot,Financial Services,,2024.0,Commonwealth Bank of Australia (CBA),Internal Development,Combat financial scams and improve customer service efficiency.,"AI-powered safety tools (NameCheck, CallerCheck) and a GenAI virtual assistant.","Generative AI, Predictive Analytics",Reduced customer scam losses by 50%; decreased call center wait times by 40%.,,https://au.finance.yahoo.com/news/commonwealth-bank-launches-new-ai-tool-to-reimagine-banking-faster-and-safer-005744886.html,,"Chatbot,Knowledge base search",,
25,26,Customer Service,Client Service Copilot,Financial Services,,2024.0,bunq,Internal Development,"Provide instant, automated support for neobank users.","Finn,' an AI assistant powered by LLMs to answer user questions.","Generative AI, LLMs","Fully resolves 40% of queries and assists in another 35%; answered >100,000 questions in first few months.",,https://www.retailbankerinternational.com/news/bunq-makes-its-ai-assistant-finn-fully-conversational/,,"Virtual assistant,Chatbot",,
26,27,Customer Service,Client Service Copilot,Financial Services,2.0,2024.0,Klarna,OpenAI,Handle high-volume customer service chats for 150 million users.,Deployed a generative AI assistant for customer service interactions.,Generative AI Assistant,"Handled two-thirds of all customer service chats, equivalent to 700 full-time agents.",,https://www.klarna.com/international/press/klarnas-ai-assistant-handles-two-thirds-of-customer-service-chats-in-its-first-month/,,"Chatbot,Multilingual support,Financial advices",,
27,28,Customer Service,Client Service Copilot,Insurance,,2024.0,Allianz,Landbot,Provide instant query resolution and reduce call center costs.,AI-powered claims processing and 24/7 AI chatbots/virtual assistants.,"AI Chatbots, Virtual Assistants","AI chatbots handle 80% of queries instantly, reducing call center costs by 50%; Benelux chatbot achieved 90% positive rating.",,https://landbot.io/case-studies/allianz,,Chatbot,High,High
28,29,Customer Service,Client Service Copilot,Hospitality (Cruise Line),,2025.0,Holland America Line,Microsoft,Provide a digital concierge for complex queries and booking support.,"Virtual agent 'Anna' on website, built with Copilot Studio and GPT-4o.","Microsoft Copilot Studio, GPT-4o, RAG","Handles thousands of conversations weekly with high resolution, reducing basic queries to human agents.",,https://learn.microsoft.com/en-us/power-platform/guidance/case-studies/holland-america-customer-experience,,Chatbot,High,High
29,30,Agent Assist,Client Service Copilot,Travel Agency,,2025.0,Global Travel Collection,Microsoft,Provide travel advisors with instant access to internal knowledge.,AI-powered agent-assist tool 'Atlas' for natural language queries of knowledge bases.,"Microsoft Azure AI Foundry, Copilot Studio, RAG",Projected to reclaim over 1.5 million advisor hours annually; reduces trip planning time by 3 hours.,,https://www.microsoft.com/en/customers/story/23943-global-travel-collection-azure-ai-foundry,,Agent copilot,,
30,31,Customer Service,Client Service Copilot,Software/SaaS,,2025.0,AssemblyAI,Pylon,Provide 24/7 support and dramatically reduce first response time.,Implemented Pylon's AI automation platform to handle inquiries.,"AI-first support platform, AI automation",97% reduction in first response time (15 min to 23 sec); increased AI resolution rate to 50%.,,https://usepylon.com/case-study/assembly-ai,,Chatbot,High,High
31,32,Customer Service,Client Service Copilot,Utilities,7.0,2023.0,Octopus Energy,Kraken (in-house),Automate customer email responses to improve efficiency and satisfaction.,Implemented Kraken's generative AI tool to automate email responses.,Generative AI,"AI achieved 80% CSAT rate, outperforming human agents' score of 65% by 15 percentage points.",,https://aiexpert.network/case-study-enhanced-customer-service-through-ai-at-octopus-energy/,,Automatic email response,Low,Low
32,33,HR/Recruiting,Client Service Copilot,BPO,1.0,2024.0,Teleperformance Nordic,Hubert.ai,Reduce time and cost of screening and hiring Customer Support Agents.,Chat-based AI interview platform to automate initial applicant screening.,AI Chat-based Interview Platform,Reduced screening process from 4 days to 45 minutes; 80% decrease in time spent on screening.,,https://www.hubert.ai/case-studies/innovative-hiring-teleperformance-nordics-leap-into-ai-driven-recruitment,,Chat-based interview system,,
33,34,Quality Assurance,Client Service Copilot,Financial Services,8.0,2025.0,Empower,"AWS,Accenture,Anthropic",Scale the contact center QA process to cover a larger percentage of calls.,Custom QA automation solution using Amazon Connect and Bedrock with Claude 3.5 Sonnet.,"Amazon Connect, Amazon Bedrock, Anthropic Claude 3.5 Sonnet, GenAI",20x increase in QA call coverage; reduced review time from days to minutes.,,https://aws.amazon.com/ru/blogs/contact-center/how-empower-scaled-contact-center-quality-assurance-with-amazon-connect-and-amazon-bedrock/,,"Speech analytics,automated QA",,
34,35,Internal Support,Client Service Copilot,Technology,,2025.0,Genesys (Internal Use),Genesys,Improve efficiency and effectiveness of its own global product support team.,Transitioned its support team to the Genesys Cloud CX platform with its full AI suite.,"Virtual Agents, Agent Copilot, Predictive Routing, GenAI","9.8X cumulative ROI over three years; saved 157,000 working hours; 20-point increase in CX score.",,https://www.genesys.com/customer-stories/genesys,,,,
35,36,Customer Service,Client Service Copilot,Financial Services,,2025.0,HSBC,Genesys,Improve customer experience and operational efficiency in contact centers.,Deployed Genesys Cloud AI orchestration to manage customer interactions.,Genesys Cloud AI orchestration,Predicted $60 million in three-year value; 48% reduction in abandonment rates; 5-minute reduction in handle time.,,https://www.genesys.com/customer-stories/hsbc,,"Interaction summary,Multilingual support",,
36,37,Customer Service,Client Service Copilot,Airline,5.0,2024.0,Virgin Atlantic,Genesys,Improve customer and employee satisfaction and increase self-service rates.,AI-powered routing and conversational AI voicebots/chatbots on Genesys Cloud.,"AI-powered routing, Conversational AI",25-point improvement in CSAT and 12-point improvement in employee happiness in 12 months.,,https://www.genesys.com/customer-stories/virgin-atlantic,,,,
37,38,Customer Service,Client Service Copilot,Financial Services,,2025.0,Newday,Internal build using AWS and Anthropic,Agents struggled with long answer retrieval times (90s avg) from ~200 knowledge articles.,"NewAssist', a RAG-based agent chatbot using AWS Bedrock and Anthropic's Claude 3 Haiku.","Generative AI, RAG, LLM (Claude 3 Haiku), Amazon Bedrock, OpenSearch Serverless",>90% accuracy; answer retrieval time cut to 4s; op-ex <$400/month.,,https://www.zenml.io/llmops-database/generative-ai-customer-service-agent-assist-with-rag-implementation,,Chatbot,High,High
38,39,Customer Service,Client Service Copilot,Insurance,,2024.0,Allianz Direct,Databricks (Mosaic AI),Empower agents to quickly answer complex policy questions and automate mundane info retrieval.,GenAI-powered agent assist tool using a RAG architecture on the Databricks platform.,"Generative AI, RAG, Databricks Data Intelligence Platform, Mosaic AI, Unity Catalog",Improved answer accuracy by 10-15%; increased agent satisfaction.,,https://www.zenml.io/llmops-database/rag-powered-agent-assist-tool-for-insurance-contact-centers,,"Agent assist,Knowledge base search,Answer suggestion",,
39,40,Customer Service,Client Service Copilot,Tech / Hospitality,5.0,2025.0,Airbnb,Internal build,"Transform a rigid, button-based IVR into an intelligent, conversational AI to reduce agent dependency.","Conversational AI-powered IVR with ASR, intent detection, and LLM-based semantic search.","ML, LLMs, ASR, Intent Detection, Semantic Search, Vector DB, Paraphrasing Models",ASR word error rate cut from 33% to 10%; <50ms intent detection; higher NPS.,,https://www.zenml.io/llmops-database/ml-powered-interactive-voice-response-system-for-customer-support,?,,,
40,41,Customer Service,Client Service Copilot,Financial Services,,2023.0,Discover Financial Services,Google Cloud,Reduce agent time spent searching extensive procedure documentation.,Generative AI solution using RAG and summarization on internal docs via Vertex AI and Gemini.,"Generative AI, RAG, Summarization, Google Cloud Vertex AI, Gemini Models",Achieved a 70% reduction in agent search time.,,https://www.zenml.io/llmops-database/generative-ai-implementation-in-banking-customer-service-and-knowledge-management,,"Agent assist,Document summarization and retrieval",,
41,42,Developer Support,Client Service Copilot,Tech,,2025.0,Adobe,Internal build using AWS,Help internal developers find information scattered across wikis and guides to reduce lost productivity.,"Unified Support,' a centralized RAG system using Amazon Bedrock Knowledge Bases.","AI, RAG, Amazon Bedrock, Vector Search, Embeddings, Metadata Filtering",20% increase in retrieval accuracy; improved developer productivity and reduced internal support costs.,,https://www.zenml.io/llmops-database/building-a-centralized-ai-powered-developer-support-system-using-rag,,Knowledge base search,Medium,Medium
42,43,Customer Service,Client Service Copilot,Financial Services,,2024.0,Stripe,Internal build,Help support agents answer questions more efficiently and reduce response times.,"A sequential, multi-stage LLM system with fine-tuned models for filtering, classification, and generation.","LLM, Fine-tuning, Sequential Framework",Improved customer support response times.,,https://www.zenml.io/llmops-database/production-llm-implementation-for-customer-support-response-generation,,Answer suggestion,,
43,44,Customer Service,Client Service Copilot,Healthcare / E-commerce,,2024.0,Airtrain,Internal build,Reduce high operational costs and address data privacy concerns of using large proprietary LLMs.,"Fine-tuned a smaller, open-source Mistral-7B model for on-premise deployment.","Fine-tuning, LLMs (Mistral-7B, GPT-3.5, GPT-4), Chatbot",94% cost reduction vs. GPT-4; achieved performance parity with GPT-3.5 for healthcare chatbot.,,https://www.zenml.io/llmops-database/cost-reduction-through-fine-tuning-healthcare-chatbot-and-e-commerce-product-classification,,Chatbot,High,High
44,45,Customer Service,Client Service Copilot,E-commerce,1.0,2025.0,Minimal,"LangChain (LangGraph,LangSmith)",Automate complex T2/T3 customer service workflows for e-commerce and integrate with helpdesks.,"Multi-agent system built with LangGraph for orchestration, operating as a copilot or fully automated.","LangGraph, LangSmith, LLMs",80%+ efficiency gains; expects 90% of tickets to be handled autonomously.,,https://blog.langchain.com/how-minimal-built-a-multi-agent-customer-support-system-with-langgraph-langsmith/,,"Multi-agent architecture for answer generation,Chatbot",,
45,46,Customer Service,Client Service Copilot,Software / User Experience,2.0,2024.0,CommandBar,LangChain (LangSmith),Help software companies make products easier to use by answering questions and reducing support tickets.,"An embedded 'Copilot' widget that answers questions, triggers tours, and executes actions.","LLMs, LangSmith (for observability)",A customer case study showed a 44% decrease in support tickets.,,https://blog.langchain.com/langchain-partners-with-commandbar-on-their-copilot-user-assistant/,,,,
46,47,Customer Service,Client Service Copilot,Social platforms,,2024.0,LinkedIn,Internal build,Improve accuracy and efficiency of its customer service question-answering system.,A novel method combining RAG with a knowledge graph constructed from historical issue tickets.,"LLM, RAG, Knowledge Graph",Reduced median per-issue resolution time by 28.6%.,,https://github.com/themanojdesai/genai-llm-ml-case-studies/blob/main/case-studies/by-company/linkedin/paper-retrieval-augmented-generation-with-knowledge-graphs-for-customer-service-question-answering.md,,Answer suggestion,High,Medium
47,48,Customer Service,Client Service Copilot,Tech,,2024.0,Elastic,Internal build (using Elasticsearch),Build a production-grade support chatbot with accurate and trustworthy responses.,"RAG chatbot built on its own tech, using hybrid search (semantic + keyword) over 300k+ documents.","RAG, LLM, Embeddings (ELSER), Hybrid Search, OpenAI GPT-3.5 Turbo","Results not reported, but architecture designed for high accuracy.",,https://www.zenml.io/llmops-database/tuning-rag-search-for-production-customer-support-chatbot,,"Agent assist,Knowledge base search",,
48,49,Customer Service,Client Service Copilot,Software Development/Tech,,2024.0,GitHub,Internal build (GitHub/Microsoft),Improve support experience and free up human team by streamlining resolution of level 1 queries.,"Copilot in GitHub Support', an AI assistant grounded in product documentation.","AI, Conversational Assistant, RAG (implied), Copilot","60% of cases resolved without human intervention, most in <7 minutes.",,https://www.zenml.io/blog/llmops-in-production-457-case-studies-of-what-actually-works,,,,
49,50,Internal Analyst Support,Client Service Copilot,Financial Services,,2024.0,Amazon Finance,"AWS (Bedrock,OpenSearch,Titan)","Analysts spent excessive time searching policy docs, leading to response times of hours or days.",RAG-based Q&A chat assistant using Amazon Bedrock with semantic chunking and prompt engineering.,"RAG, LLM, Embeddings, Vector Store, Semantic Chunking, Prompt Engineering",Accuracy increased from 49% to 86%; response times cut from hours/days to minutes.,,https://www.zenml.io/llmops-database/scaling-rag-accuracy-from-49-to-86-in-finance-q-a-assistant,,Chatbot,High,High
50,51,Customer Service,Client Service Copilot,Insurance,,2024.0,InsuranceDekho,Not reported,Provide faster support for insurance agents.,Implemented a RAG-based chat assistant for insurance agent support.,"RAG, Chat Assistant",Achieved an 80% reduction in query response times.,,https://www.zenml.io/llmops-database/transforming-insurance-agent-support-with-rag-powered-chat-assistant,,Chatbot,High,High
51,52,Customer Service,Client Service Copilot,Global Transportation,,2025.0,Lime,Forethought,Automate customer support to handle a large volume of cases efficiently.,Deployed Forethought's AI platform for customer support automation.,AI Platform (Forethought),Achieved a 27% case automation rate and a 77% reduction in first response times.,,https://www.zenml.io/llmops-database/ai-powered-customer-support-automation-for-global-transportation-service,,"Routing,Multilingual support",,
52,53,Customer Service,Client Service Copilot,Financial Services,,2024.0,Principal Financial Group,Amazon (Amazon Q Business),Implement an enterprise-wide solution for customer service knowledge retrieval.,Implemented an enterprise-wide RAG solution (Amazon Q Business) for customer service.,"RAG, Amazon Q Business",Achieved 84% accuracy and a 50% reduction in some workloads.,,https://www.zenml.io/blog/llmops-in-production-457-case-studies-of-what-actually-works,,,,
56,57,Data Analytics,Analytics Copilot,Automotive,9.0,2024.0,Uber,,"At Uber, our data platform handles approximately 1.2 million interactive queries each month. The Operations organization, one of the largest user cohorts, contributes to about 36% of these queries. Authoring these queries generally requires a fair amount of time between searching for relevant datasets in our data dictionary and then authoring the query inside our editor.",QueryGPT,"LLM, vector databases, and similarity search","QueryGPT reduces the query generation time from 10 minutes to 3 minutes.
we are averaging about 300 daily active users, with about 78% saying that the generated queries have reduced the amount of time they would’ve spent writing it from scratch.",,https://www.uber.com/en-AT/blog/query-gpt/,,Generating SQL queries,Medium,
58,59,Sales,Analytics Copilot,Insurance,,,M3 Insurance,Tableau/Salesforce,"M3 Insurance helps clients manage risk, purchase insurance, and provide employee benefits programs. A client’s risk profile changes all the time. The Challenge: Drive efficiency through AI-powered insights, enabling sales and service teams to query data, and throughout the company’s sales and financial reporting processes",Tableau Pulse,"NLP-модели, LLM","Win rates increased by 48% 
Win values have increased by 63%","Tableau provides clients’ finance directors and CFOs with the data and proof that they have the right programs for their business. Using dynamic charts in meetings means both M3 and clients get live feedback and metrics on plans so they can make immediate adjustments to meet client objectives. For instance, M3 can consult clients on staff turnover, showing how a switch in employee benefits strategies makes the company more competitive and can improve staff turnover rates.",https://www.tableau.com/solutions/customer/m3-insurance-sees-upsurge-win-rates-and-efficiency-ai-powered-insights,,Risk analysis,,
59,60,Finance,Analytics Copilot,Insurance,,,M3 Insurance,Tableau/Salesforce,Enhancing the efficiency of its finance teams by automating insights of monthly and quarterly reviews.,Tableau Pulse,"NLP-модели, LLM","Faster and better decisions based on data, responding to market dynamics.
Rapid identification and response to anomalies and trends","Tableau Pulse provides quick, actionable insights and executive summaries, streamlining quarterly reviews, and enabling executives to ask critical questions in natural language and on-demand, proactively detects trends and anomalies with notifications and in the insights summary.",https://www.tableau.com/solutions/customer/m3-insurance-sees-upsurge-win-rates-and-efficiency-ai-powered-insights,,"Report generation,Financial Statement",High,
60,61,HR,Analytics Copilot / HR Copilot,Insurance,,,M3 Insurance,Tableau/Salesforce,"Forecasting the personnel needs of business units. Insights related to metrics across the team such as account size, tenure, and workload",Tableau Pulse,"NLP-модели, LLM","Identification areas of the business to scale up or down, which enables M3 to stay ahead of business demand by proactively reassigning account teams and recruiting personnel.",,https://www.tableau.com/solutions/customer/m3-insurance-sees-upsurge-win-rates-and-efficiency-ai-powered-insights,,"HR analytics,Staffing analysis,Employee turnover analysis",Low,
61,62,Management,Analytics Copilot,IT,,2025.0,Salesforce,,"Data access gap: Non-technical people have questions, but not answers, and decisions slow down due to a backlog of support requests. (Even worse, people start making decisions using old data or best guesses.) Engineers and data scientists spend their time writing queries and fetching data instead of building high-value features.",Horizon Agent,LLM,"For non-technical people: reducing the time to receive analytics from dozens of hours to a few minutes.
Data analysts spend less time making custom requests for users.",,How We Built a Text-To-SQL AI Agent to Get Instant Answers,,"Sales analysis,Financial Statement",High,
62,63,Cybersecurity,Analytics Copilot,IT,,,Box,Tableau/Salesforce,"The number one goal at Box is to provide the most trusted and secure intelligent content management platform. it is fighting increasingly sophisticated cybersecurity threats from bad actors employing AI tools and facing escalated risks.  
Security is a data problem:
- Complex data presentation: hinders quick identification and extraction of key insights
- Lack of instant metric assessment: makes it difficult to identify success and areas for focus
- Need for timely insights: lack of live, centralized, up-to-date information slows actions",Tableau Pulse,"NLP-модели, LLM","- 97% reduction in time to data insights
- 92% reduction in time to prepare Monthly Operational and Quarterly Business Reviews
- 99% reduction in time required to create monthly, quarterly, annual, and year-to-date visualizations.
- 99% expected reduction in time to manually compile reports for the CISO",,https://www.tableau.com/solutions/customer/box-fights-cyber-threats-effectively-bringing-strategic-clarity-security-data,,Security analytics,,
